subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
ICD10CM:A15.0	Tuberculosis of lung	skos:closeMatch	MONDO:0021953	tuberculous fibrosis of lung	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	Tuberculous fibrosis of lung	UNIQUE_2
ICD10CM:A21	Tularemia	skos:closeMatch	MONDO:0018077	tularemia	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	rabbit fever	UNIQUE_2
ICD10CM:A23	Brucellosis	skos:closeMatch	MONDO:0005683	brucellosis	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	Malta fever	UNIQUE_2
ICD10CM:A23	Brucellosis	skos:closeMatch	MONDO:0005683	brucellosis	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	Mediterranean fever	UNIQUE_2
ICD10CM:A25.1	Streptobacillosis	skos:closeMatch	MONDO:0020533	streptobacillary rat-bite fever	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	Streptobacillosis	UNIQUE_2
ICD10CM:A36.0	Pharyngeal diphtheria	skos:closeMatch	MONDO:0020860	faucial diphtheria	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	Diphtheritic membranous angina	UNIQUE_2
ICD10CM:A36.1	Nasopharyngeal diphtheria	skos:closeMatch	MONDO:0020866	nasopharyngeal diphtheria	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	Nasopharyngeal diphtheria	UNIQUE_2
ICD10CM:A36.2	Laryngeal diphtheria	skos:closeMatch	MONDO:0020863	laryngeal diphtheria	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	Diphtheritic laryngotracheitis	UNIQUE_2
ICD10CM:A36.2	Laryngeal diphtheria	skos:closeMatch	MONDO:0020863	laryngeal diphtheria	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	Laryngeal diphtheria	UNIQUE_2
ICD10CM:A69.1	Other Vincent's infections	skos:closeMatch	MONDO:0006865	necrotizing ulcerative gingivitis	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	Vincent's gingivitis	UNIQUE_2
