subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0000213	autoimmune disease, multisystem, infantile-onset	skos:exactMatch	DOID:0061159	infantile onset multisystem autoimmune disease	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omimps:615952	LEXMATCH
MONDO:0000275	obsolete monogenic disease	skos:exactMatch	DOID:0050177	monogenic disease	semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0000411	obsolete electroclinical syndrome	skos:exactMatch	DOID:0050701	electroclinical syndrome	semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0000412	obsolete neonatal period electroclinical syndrome	skos:exactMatch	DOID:0050702	neonatal period electroclinical syndrome	semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0000413	obsolete infancy electroclinical syndrome	skos:exactMatch	DOID:0050703	infancy electroclinical syndrome	semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0000414	obsolete childhood electroclinical syndrome	skos:exactMatch	DOID:0050704	childhood electroclinical syndrome	semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0000601	obsolete autoimmune disorder of urogenital tract	skos:exactMatch	DOID:0060049	autoimmune disease of urogenital tract	semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0000834	obsolete bone deterioration disease	skos:exactMatch	DOID:0080007	bone deterioration disease	semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0000839	obsolete congenital abnormality	skos:exactMatch	DOID:0080015	physical disorder	semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0000857	obsolete Charcot-Marie-Tooth disease type 7	skos:exactMatch	DOID:0080069	Charcot-Marie-Tooth disease type 7	semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0001254	obsolete peripheral scars of retina	skos:exactMatch	DOID:11283	peripheral scars of retina	semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0001679	obsolete crater-like holes of optic disk	skos:exactMatch	DOID:13295	crater-like holes of optic disc	semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0001693	obsolete ego-dystonic sexual orientation	skos:exactMatch	DOID:13352	ego-dystonic sexual orientation	semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0001883	blue toe syndrome	skos:exactMatch	DOID:1461	cholesterol embolism	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	purple toe syndrome	LEXMATCH
