subject_id	subject_label	object_id	predicate_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ID		A oboInOwl:hasDbXref	>A oboInOwl:source							
MONDO:0005641	aleutian mink disease	DOID:2934	MONDO:equivalentTo	aleutian mink disease	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	aleutian mink disorder
MONDO:0005676	borna disease	DOID:5154	MONDO:equivalentTo	borna disease	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	borna disorder
MONDO:0007315	cherubism	DOID:0070648	MONDO:equivalentTo	cherubism	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	mesh:d002636
MONDO:0007744	cholesterol-ester transfer protein deficiency	DOID:0111368	MONDO:equivalentTo	cholesterol-ester transfer protein deficiency	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	cholesterol-ester transfer protein deficiency
MONDO:0008002	mirror movements 1	DOID:0070636	MONDO:equivalentTo	mirror movements 1	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:157600
MONDO:0008369	proximal renal tubular acidosis	DOID:0061165	MONDO:equivalentTo	proximal renal tubular acidosis	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:179830
MONDO:0008881	kyphomelic dysplasia	DOID:0061155	MONDO:equivalentTo	kyphomelic dysplasia	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:211350
MONDO:0009465	multiple intestinal atresia	DOID:14671	MONDO:equivalentTo	multiple intestinal atresia	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	multiple intestinal atresia
MONDO:0009954	Ramon syndrome	DOID:0070650	MONDO:equivalentTo	Ramon syndrome	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	mesh:c535285
MONDO:0009954	Ramon syndrome	DOID:0070650	MONDO:equivalentTo	Ramon syndrome	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:266270
MONDO:0011422	autosomal recessive proximal renal tubular acidosis	DOID:0061167	MONDO:equivalentTo	autosomal recessive proximal renal tubular acidosis	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	autosomal recessive proximal renal tubular acidosis
MONDO:0012252	rhabdoid tumor predisposition syndrome 1	DOID:0070618	MONDO:equivalentTo	rhabdoid tumor predisposition syndrome 1	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:609322
MONDO:0013224	rhabdoid tumor predisposition syndrome 2	DOID:0060997	MONDO:equivalentTo	rhabdoid tumor predisposition syndrome 2	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:613325
MONDO:0013790	mirror movements 2	DOID:0070637	MONDO:equivalentTo	mirror movements 2	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:614508
MONDO:0014478	mirror movements 3	DOID:0070639	MONDO:equivalentTo	mirror movements 3	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:616059
MONDO:0021661	coronary atherosclerosis	DOID:0061139	MONDO:equivalentTo	coronary atherosclerosis	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	coronary atherosclerosis
MONDO:0030606	Bryant-Li-Bhoj neurodevelopmental syndrome 1	DOID:0051011	MONDO:equivalentTo	Bryant-Li-Bhoj neurodevelopmental syndrome 1	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:619720
MONDO:0030607	Bryant-Li-Bhoj neurodevelopmental syndrome 2	DOID:0051012	MONDO:equivalentTo	Bryant-Li-Bhoj neurodevelopmental syndrome 2	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:619721
MONDO:0030770	congenital disorder of deglycosylation 2	DOID:0060990	MONDO:equivalentTo	congenital disorder of deglycosylation 2	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:619775
MONDO:0030994	neurodevelopmental disorder with or without autism or seizures	DOID:0061147	MONDO:equivalentTo	neurodevelopmental disorder with or without autism or seizures	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:619239
MONDO:0032641	mirror movements 4	DOID:0070638	MONDO:equivalentTo	mirror movements 4	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:618264
MONDO:0859148	neurodevelopmental disorder with seizures and gingival overgrowth	DOID:0070651	MONDO:equivalentTo	neurodevelopmental disorder with seizures and gingival overgrowth	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:619323
MONDO:0957787	Fliedner-Zweier syndrome	DOID:0070653	MONDO:equivalentTo	Fliedner-Zweier syndrome	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:620511
