subject_id	predicate_id	object_id	subject_label	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ID	>A oboInOwl:source	A oboInOwl:hasDbXref								
MONDO:0000088	MONDO:equivalentTo	ICD10WHO:E30.1	precocious puberty	Precocious puberty	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	precocious puberty
MONDO:0000245	MONDO:equivalentTo	ICD10WHO:B35.5	tinea imbricata	Tinea imbricata	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	tinea imbricata
MONDO:0000367	MONDO:equivalentTo	ICD10WHO:B68	taeniasis	Taeniasis	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	taeniasis
MONDO:0000397	MONDO:equivalentTo	ICD10WHO:G80.4	ataxic cerebral palsy	Ataxic cerebral palsy	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	ataxic cerebral palsy
MONDO:0000495	MONDO:equivalentTo	ICD10WHO:F91.3	oppositional defiant disorder	Oppositional defiant disorder	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	oppositional defiant disorder
MONDO:0000665	MONDO:equivalentTo	ICD10WHO:R48.2	apraxia	Apraxia	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	apraxia
MONDO:0000745	MONDO:equivalentTo	ICD10WHO:I46	cardiac arrest	Cardiac arrest	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	cardiac arrest
MONDO:0000754	MONDO:equivalentTo	ICD10WHO:K60.3	anal fistula	Anal fistula	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	anal fistula
MONDO:0000755	MONDO:equivalentTo	ICD10WHO:O00	ectopic pregnancy	Ectopic pregnancy	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	ectopic pregnancy
MONDO:0000819	MONDO:equivalentTo	ICD10WHO:Q00.0	anencephaly	Anencephaly	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	anencephaly
MONDO:0000859	MONDO:equivalentTo	ICD10WHO:Q76.0	spina bifida occulta	Spina bifida occulta	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	spina bifida occulta
MONDO:0000889	MONDO:equivalentTo	ICD10WHO:G00.0	haemophilus meningitis	Haemophilus meningitis	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	haemophilus meningitis
MONDO:0000923	MONDO:equivalentTo	ICD10WHO:J98.2	interstitial emphysema	Interstitial emphysema	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	interstitial emphysema
MONDO:0000924	MONDO:equivalentTo	ICD10WHO:J98.3	compensatory emphysema	Compensatory emphysema	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	compensatory emphysema
MONDO:0000927	MONDO:equivalentTo	ICD10WHO:A52.2	asymptomatic neurosyphilis	Asymptomatic neurosyphilis	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	asymptomatic neurosyphilis
MONDO:0000983	MONDO:equivalentTo	ICD10WHO:F65.2	exhibitionism	Exhibitionism	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	exhibitionism
MONDO:0000986	MONDO:equivalentTo	ICD10WHO:R09.1	pleurisy	Pleurisy	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	pleurisy
MONDO:0000987	MONDO:equivalentTo	ICD10WHO:K82.4	cholesterolosis of gallbladder	Cholesterolosis of gallbladder	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	cholesterolosis of gallbladder
MONDO:0000990	MONDO:equivalentTo	ICD10WHO:I21.4	acute subendocardial myocardial infarction	Acute subendocardial myocardial infarction	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	acute subendocardial myocardial infarction
MONDO:0001007	MONDO:equivalentTo	ICD10WHO:G03.1	chronic meningitis	Chronic meningitis	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	chronic meningitis
MONDO:0001009	MONDO:equivalentTo	ICD10WHO:N60.0	solitary cyst of breast	Solitary cyst of breast	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	solitary cyst of breast
MONDO:0001024	MONDO:equivalentTo	ICD10WHO:A20.2	pneumonic plague	Pneumonic plague	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	pneumonic plague
MONDO:0001029	MONDO:equivalentTo	ICD10WHO:Q76.1	Klippel-Feil syndrome	Klippel-Feil syndrome	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	klippel-feil syndrome
MONDO:0001042	MONDO:equivalentTo	ICD10WHO:M76.5	patellar tendinitis	Patellar tendinitis	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	patellar tendinitis
MONDO:0001049	MONDO:equivalentTo	ICD10WHO:I24.1	Dressler syndrome	Dressler syndrome	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	dressler syndrome
MONDO:0001050	MONDO:equivalentTo	ICD10WHO:H60.2	malignant otitis externa	Malignant otitis externa	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	malignant otitis externa
MONDO:0001078	MONDO:equivalentTo	ICD10WHO:K90.1	tropical sprue	Tropical sprue	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	tropical sprue
MONDO:0001100	MONDO:equivalentTo	ICD10WHO:N62	hypertrophy of breast	Hypertrophy of breast	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	hypertrophy of breast
MONDO:0001101	MONDO:equivalentTo	ICD10WHO:N64.1	fat necrosis of breast	Fat necrosis of breast	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	fat necrosis of breast
MONDO:0001109	MONDO:equivalentTo	ICD10WHO:H70.2	petrositis	Petrositis	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	petrositis
MONDO:0001112	MONDO:equivalentTo	ICD10WHO:A20.0	bubonic plague	Bubonic plague	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	bubonic plague
MONDO:0001120	MONDO:equivalentTo	ICD10WHO:J32.1	chronic frontal sinusitis	Chronic frontal sinusitis	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	chronic frontal sinusitis
MONDO:0001122	MONDO:equivalentTo	ICD10WHO:J32.0	chronic maxillary sinusitis	Chronic maxillary sinusitis	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	chronic maxillary sinusitis
MONDO:0001123	MONDO:equivalentTo	ICD10WHO:J32.3	chronic sphenoidal sinusitis	Chronic sphenoidal sinusitis	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	chronic sphenoidal sinusitis
MONDO:0001126	MONDO:equivalentTo	ICD10WHO:K25	gastric ulcer	Gastric ulcer	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	gastric ulcer
MONDO:0001135	MONDO:equivalentTo	ICD10WHO:F65.3	voyeurism	Voyeurism	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	voyeurism
MONDO:0001143	MONDO:equivalentTo	ICD10WHO:H49	paralytic strabismus	Paralytic strabismus	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	paralytic strabismus
