subject_id	subject_label
OMIMPS:215700	Citrullinemia
OMIMPS:151623	Li-Fraumeni syndrome
OMIM:620789	aplasia cutis-enamel dysplasia syndrome
OMIM:620795	autoinflammation with episodic fever and immune dysregulation
OMIM:620786	basal ganglia calcification, idiopathic, 9, autosomal recessive
OMIM:620794	deafness, autosomal recessive 124
OMIM:620790	neurodevelopmental disorder with hypotonia and seizures
OMIM:620785	neurodevelopmental disorder with progressive movement abnormalities
OMIM:620792	otosclerosis 12
OMIM:620796	proteasome-associated autoinflammatory syndrome 6
